date,avg(label)
2023-01-21,0.3333333333333333
2021-11-03,0.5
2022-10-05,0.4
2023-05-01,0.6363636363636364
2023-05-18,0.45454545454545453
2023-04-21,0.5833333333333334
2023-04-17,0.4166666666666667
2022-10-07,0.7857142857142857
2021-12-23,0.5
2023-04-28,0.5555555555555556
2022-05-17,0.5384615384615384
2023-02-10,0.45454545454545453
2022-03-30,0.4
2021-10-25,0.45454545454545453
2021-11-15,0.5714285714285714
2021-08-30,0.7777777777777778
2023-03-11,0.5
2023-04-26,2.3636363636363638
2023-05-04,0.5
2023-03-10,0.7142857142857143
2021-09-23,0.2727272727272727
2022-07-08,0.4444444444444444
2022-07-04,0.6153846153846154
2022-01-20,0.5
2023-02-23,0.42857142857142855
2023-03-17,0.2222222222222222
2022-09-03,0.3
2022-07-30,0.6923076923076923
2022-03-21,0.45454545454545453
2023-05-14,0.4666666666666667
2023-03-29,0.5
2022-07-23,0.5
2022-10-24,0.8
2021-10-27,0.45454545454545453
2022-11-23,0.5
2022-10-13,0.4
2023-05-20,0.5
2022-11-09,0.6
2021-08-06,0.3076923076923077
2022-12-14,0.5833333333333334
2022-02-19,0.25
2022-03-02,0.4
2021-06-17,0.5
2022-10-29,0.8
2021-10-19,0.3333333333333333
 for loved ones who suffered,1.0
2022-11-04,0.4
2023-01-30,0.35294117647058826
2022-06-01,0.5384615384615384
2021-09-30,0.5
2022-01-18,0.5
2021-10-23,0.46153846153846156
2022-05-04,0.4117647058823529
2022-11-27,0.5
2021-07-01,0.6923076923076923
2021-07-18,0.4
2022-03-04,0.3888888888888889
2022-09-07,0.5555555555555556
2023-02-17,0.36363636363636365
2021-08-05,0.5
2021-10-09,0.5833333333333334
2021-09-06,0.5
2022-06-07,0.625
2022-04-04,0.6923076923076923
2022-08-17,0.42857142857142855
2021-12-06,0.7272727272727273
2022-07-25,0.5
2023-04-18,0.46153846153846156
2022-06-03,4.2
2023-03-14,0.75
2022-12-07,0.7142857142857143
2021-11-18,0.7692307692307693
2022-05-16,0.2
2023-01-05,0.35294117647058826
2023-03-19,0.5
2022-10-22,0.5555555555555556
2022-05-19,0.5384615384615384
2022-06-15,0.4444444444444444
2021-07-07,0.375
2022-01-17,0.38461538461538464
2022-05-07,0.375
2022-11-14,0.8888888888888888
 sneezing,39.0
2022-03-16,0.4166666666666667
2023-04-09,0.8181818181818182
2022-07-15,0.5
2021-09-10,0.6666666666666666
2021-10-10,0.625
2021-11-19,0.5454545454545454
2022-10-19,0.5
2022-12-20,0.23529411764705882
2022-06-04,0.42857142857142855
2021-06-03,0.2727272727272727
2022-11-10,0.46153846153846156
2021-10-24,0.6
2021-12-24,0.4
2023-04-07,0.3333333333333333
2021-12-08,0.4166666666666667
 we traveled where we wanted,1.0
2022-10-14,0.3333333333333333
 as a result,1.0
2021-11-02,0.6
2021-09-04,0.75
2021-12-28,0.5555555555555556
2023-01-03,0.5
2022-03-11,0.6153846153846154
2022-03-10,0.6153846153846154
2022-11-30,0.5
2022-07-06,0.5
2022-01-02,0.3076923076923077
2022-10-09,0.4
2022-05-24,0.46153846153846156
2021-06-26,0.36363636363636365
2021-12-03,0.625
2023-03-20,0.4166666666666667
2022-08-26,0.8181818181818182
2023-05-19,0.6666666666666666
2022-07-17,0.25
2022-04-12,0.5714285714285714
2022-10-08,0.6363636363636364
2021-12-30,7.090909090909091
2023-04-30,7.222222222222222
2021-09-01,0.6
2022-12-01,0.5384615384615384
2023-03-21,1.6363636363636365
2021-11-24,0.42857142857142855
2022-01-23,0.5555555555555556
2021-06-23,0.5
2022-07-09,0.6363636363636364
 #Moderna,5.0
2022-07-18,0.18181818181818182
2022-05-27,4.571428571428571
2022-04-29,0.5
2023-03-25,0.47058823529411764
2022-07-21,0.46153846153846156
2021-11-28,0.3333333333333333
2022-10-17,0.4166666666666667
2022-12-16,0.4
 Janet Woodcock,17.0
2022-04-02,0.8181818181818182
2022-02-27,0.3076923076923077
2023-01-22,0.6666666666666666
 my own 5G cellphone tower finally grew in,1.0
2021-10-15,0.5454545454545454
2021-12-29,0.5714285714285714
2023-01-26,0.7142857142857143
2022-01-14,0.5
2023-01-25,0.625
2022-10-28,0.6
2021-09-12,0.25
2022-06-11,0.25
2022-04-17,8.375
2023-04-05,0.375
2021-12-13,0.5555555555555556
2022-05-13,0.3333333333333333
2022-08-25,0.4375
2022-08-02,3.6153846153846154
2022-12-11,0.5
2022-03-12,0.6666666666666666
2021-09-18,0.36363636363636365
2022-03-25,0.5
2023-05-08,0.5
2021-10-16,0.2222222222222222
2021-06-27,0.6428571428571429
2021-11-08,0.4
 40% received  #PfizerBiontech,1.0
2022-02-13,0.6
2022-02-28,0.35294117647058826
2022-09-17,0.5454545454545454
2021-07-12,0.14285714285714285
 Astrazeneca,0.0
2022-04-19,0.16666666666666666
2021-06-24,0.5789473684210527
2022-07-05,0.5
2022-09-06,0.3333333333333333
2021-08-13,0.4444444444444444
2023-01-28,0.5
2022-03-06,0.5714285714285714
 shots,2.0
2022-06-17,0.5
2022-09-24,0.5555555555555556
2021-07-03,0.75
 meanwhile,1.0
2022-11-15,0.8
2023-03-06,0.5454545454545454
 low grade fever and chills,1.0
,1.0
2022-09-19,0.6363636363636364
2021-06-11,7.3
2022-09-29,0.5714285714285714
2021-07-28,0.5
2022-05-21,0.35714285714285715
2021-11-05,0.45454545454545453
 the patriot in me wanted the #AstraZeneca jab,0.0
2022-09-22,0.5
2022-01-03,0.26666666666666666
2022-08-07,5.2
2022-12-22,0.5
2022-03-01,0.5
2022-10-02,0.6363636363636364
2022-11-08,0.2727272727272727
2022-01-25,0.5
2021-07-13,0.6923076923076923
2022-02-18,0.45454545454545453
 both on the #NEJM,1.0
 Lipids,1.0
2022-08-11,0.5
2022-12-03,0.3076923076923077
2021-07-16,5.0
2022-06-25,0.5714285714285714
2021-12-25,0.6
2022-07-26,0.5833333333333334
2022-12-05,0.375
2022-09-09,0.47368421052631576
2022-11-26,0.45454545454545453
2023-03-31,0.4444444444444444
2023-02-02,0.45454545454545453
2022-03-28,0.45
2022-11-03,0.7333333333333333
2021-07-21,0.45454545454545453
" the name Comirnaty """"represents a combination of the terms COVIDâ19",85.0
 slightly tender arm,0.0
2022-09-20,4.571428571428571
2023-01-01,0.16666666666666666
2021-08-26,0.4444444444444444
2022-05-23,0.4
2021-08-31,0.5714285714285714
2022-11-11,0.5
2023-02-20,2.8
2022-06-16,0.6666666666666666
2023-05-02,0.46153846153846156
2022-08-12,0.7
2022-03-26,0.5454545454545454
2022-04-18,0.5
2022-04-01,0.6363636363636364
2022-01-21,0.375
2022-06-24,0.625
2023-05-03,0.35714285714285715
 #COVAX,5.0
2022-02-26,0.375
2023-01-08,0.2727272727272727
2023-01-18,0.125
2021-10-04,0.75
2021-12-14,0.7272727272727273
 chills,0.0
2021-09-22,0.4166666666666667
2022-10-21,0.2727272727272727
2023-05-05,0.3333333333333333
2023-05-06,0.42857142857142855
2021-06-08,1.5454545454545454
2021-05-30,0.4
2022-11-21,6.230769230769231
2021-12-01,0.35714285714285715
2022-08-30,0.4
2022-12-28,1.0
2023-02-26,0.5
2022-12-04,0.3
2023-04-06,0.6153846153846154
2022-07-02,0.4
2022-02-23,0.2
2022-03-22,0.4666666666666667
2021-06-15,0.5333333333333333
2022-06-19,0.375
2022-01-09,0.45454545454545453
2023-05-16,0.5555555555555556
2022-11-25,0.5
2022-12-21,0.4166666666666667
2022-06-22,0.2727272727272727
2023-04-19,0.2222222222222222
2023-02-24,4.928571428571429
2022-09-27,0.6363636363636364
2023-02-06,0.6666666666666666
2023-03-01,3.8
2023-04-04,0.5
2021-07-20,0.45454545454545453
2021-09-15,0.7142857142857143
2022-03-15,0.3333333333333333
 a nurse at Ascension St. John,1.0
2022-09-26,0.4
2021-09-11,0.6
2023-01-20,0.6666666666666666
2022-08-16,8.222222222222221
2022-06-29,0.2727272727272727
2023-01-12,0.4444444444444444
2022-09-28,0.36363636363636365
2022-03-05,0.45454545454545453
2022-06-05,1.0
2023-02-19,0.35714285714285715
2022-11-18,0.4
2021-10-06,0.4166666666666667
however,0.0
 fever,0.5
2023-05-09,2.9411764705882355
2022-09-15,0.5714285714285714
2022-04-10,0.3684210526315789
2021-10-13,0.6666666666666666
2022-06-08,0.5
2022-12-15,0.45454545454545453
2022-07-20,0.2857142857142857
2021-07-11,0.5
2021-06-05,0.4
2023-04-22,0.38461538461538464
2022-07-01,0.5714285714285714
2023-01-29,0.4
2021-08-19,0.5714285714285714
2022-01-13,0.625
2022-01-22,0.7142857142857143
2022-07-19,1.5
2023-02-22,4.7
 #PfizerBioNTech ,1.0
2023-01-19,0.42857142857142855
2022-01-31,0.6363636363636364
2021-12-10,0.625
2023-03-04,9.714285714285714
 the dates you had your dose,1.0
2021-06-16,0.65
2022-08-10,0.4666666666666667
2022-05-03,4.818181818181818
2022-04-14,0.5384615384615384
2022-10-15,0.5714285714285714
2021-12-18,0.7777777777777778
2021-10-03,0.5714285714285714
2022-04-11,0.42857142857142855
2023-01-17,5.785714285714286
2022-07-10,5.1875
2021-07-26,7.25
2022-07-24,5.666666666666667
2022-02-01,3.8
2022-06-06,0.4166666666666667
2021-05-23,0.7
2023-03-12,0.3333333333333333
2023-05-07,0.5
2022-03-24,0.2
2022-04-13,0.2
2023-03-13,0.8888888888888888
2023-03-05,0.5
2021-08-25,3.4615384615384617
2022-01-06,0.6666666666666666
2021-11-06,0.5384615384615384
2023-01-04,2.125
2021-09-27,0.3
2021-11-23,0.42857142857142855
2022-07-27,0.25
2022-12-30,0.5
2022-08-14,0.5
2021-10-28,2.764705882352941
2023-05-21,0.6153846153846154
2021-07-24,0.625
2023-03-22,0.6428571428571429
2023-03-30,0.42857142857142855
2021-06-06,0.5263157894736842
2021-08-04,0.5
2023-03-23,0.8
2022-05-12,0.25
2021-11-01,0.3333333333333333
2022-09-11,0.2
2023-01-10,0.6
2022-09-08,0.5384615384615384
2022-09-13,0.6
2022-11-16,0.625
2022-02-21,0.5
2022-06-28,0.2727272727272727
2022-11-01,0.5714285714285714
2022-09-16,0.375
 virus continually mutates &amp; spreads,0.0
 friends,1.0
 the #Moderna,55.0
2023-04-16,0.625
2022-03-31,0.5
2022-10-23,0.8888888888888888
 BDM,1.0
2022-02-15,0.4
 got some sun,1.0
2022-11-06,0.5
2022-04-15,0.6923076923076923
2022-11-19,0.1111111111111111
2022-06-20,0.3888888888888889
2022-12-10,0.875
2022-02-10,0.4
2023-04-24,0.5
 there were â3410 total cases of suspected,1.0
2021-08-28,0.5
2022-08-22,0.4444444444444444
2022-08-24,0.5
2022-06-09,0.2
2021-11-21,0.5714285714285714
2021-08-07,0.6666666666666666
2021-05-29,1.8
 41,1.0
2021-09-29,0.5384615384615384
2021-07-08,0.4666666666666667
2022-04-16,0.3333333333333333
2021-06-30,0.4
2022-05-01,0.7142857142857143
2021-11-26,0.3125
2022-05-30,0.625
 I am in good health,52.0
2023-04-10,0.5714285714285714
2022-11-17,0.5454545454545454
2023-01-13,2.0
2022-09-05,0.5
2021-05-21,0.5
2021-11-04,0.2222222222222222
2023-04-08,0.45454545454545453
2022-10-03,0.375
2021-09-02,0.6666666666666666
2022-08-18,0.21428571428571427
2022-10-31,0.625
2022-06-27,0.42857142857142855
2021-07-15,0.5
2022-05-20,0.6428571428571429
2022-11-29,0.4444444444444444
2021-05-31,0.4
2023-02-15,0.5714285714285714
2021-12-19,0.5714285714285714
2021-06-07,0.5
2022-09-10,0.5
2021-09-13,0.06666666666666667
2022-10-11,0.38461538461538464
2021-06-12,4.2
2022-09-21,0.6666666666666666
2022-01-08,0.3
2022-02-03,0.375
2021-12-20,0.5833333333333334
2022-11-12,0.4
2021-12-15,0.4444444444444444
2023-02-01,0.4666666666666667
2022-12-17,0.5
2021-09-08,0.75
2021-09-21,0.5384615384615384
2022-07-16,0.45454545454545453
2022-12-26,0.5333333333333333
2021-11-27,0.7142857142857143
2021-06-01,0.375
2021-10-20,0.6363636363636364
2021-10-18,0.2857142857142857
2022-08-20,4.166666666666667
 @_DCHealth,0.0
2023-02-08,0.5
2022-04-05,0.3333333333333333
2021-07-27,0.75
2022-05-11,0.8
2022-02-02,0.375
2021-10-08,5.7272727272727275
2023-02-28,0.625
2022-08-15,0.6923076923076923
2022-08-31,0.42857142857142855
 the  vaccination,1.0
2021-11-09,1.1
2021-10-17,0.3333333333333333
2022-02-24,0.4
2022-05-14,0.6
 headache and upset tummy right now,0.0
2022-10-12,0.5
2022-08-13,0.7142857142857143
2021-06-25,0.6
2021-08-20,0.6153846153846154
2021-09-07,0.6666666666666666
2023-02-27,0.4444444444444444
2022-03-27,0.36363636363636365
2022-09-14,0.8
2022-04-23,7.888888888888889
2023-05-15,0.6666666666666666
2021-09-19,0.4444444444444444
2021-07-22,0.42857142857142855
2022-01-11,6.090909090909091
 mask up,1.0
2022-12-12,0.23076923076923078
2022-07-14,0.14285714285714285
2023-03-16,0.6666666666666666
2022-02-08,0.5625
2022-11-13,0.625
2022-05-08,0.5454545454545454
2022-03-09,0.25
2023-03-28,10.142857142857142
2021-11-13,0.5
2022-08-27,0.5454545454545454
2021-06-20,0.46153846153846156
 129,0.0
2022-06-13,0.6923076923076923
2022-05-28,0.5333333333333333
2021-08-15,0.5
2021-12-31,0.6
2023-02-09,0.2857142857142857
2021-11-22,0.45454545454545453
2021-08-08,0.3125
2022-08-05,0.8
2021-08-01,0.2857142857142857
2022-04-07,0.5
2022-11-02,0.5
2022-12-25,0.3333333333333333
2022-04-06,0.625
2021-12-07,0.5
2021-07-06,0.2222222222222222
2021-11-25,0.7647058823529411
2022-01-10,0.3125
2021-08-23,0.7142857142857143
2021-07-31,0.7692307692307693
2023-04-29,6.3
2021-05-22,0.3
 No Excuses,1.0
2021-07-10,0.6666666666666666
2021-08-11,0.4
2023-05-11,0.5
2021-12-09,0.7692307692307693
2022-06-26,1.9230769230769231
2022-03-13,0.6666666666666666
2022-04-22,0.6666666666666666
2023-03-07,0.5
2022-02-25,6.444444444444445
2022-02-04,0.3333333333333333
2022-04-08,0.3333333333333333
2022-06-30,0.5555555555555556
 my friends,19.0
 of any belief or Worldview,1.0
2022-10-04,0.6666666666666666
2022-05-25,0.8
 dinners,25.0
2022-10-18,0.36363636363636365
 the whole truth,1.0
2022-07-03,2.857142857142857
2022-09-01,0.6666666666666666
2022-11-07,0.5714285714285714
2022-01-15,0.4
2022-07-12,0.2
2022-12-08,0.125
2022-12-31,0.4
2022-07-31,0.42857142857142855
2021-10-29,0.5
2022-07-28,0.16666666666666666
2021-09-17,0.5
2021-12-16,0.2222222222222222
2021-05-25,0.5
2023-04-23,0.2222222222222222
2021-09-09,0.5
2022-09-04,0.2
2022-05-31,0.3333333333333333
2021-07-04,0.5
2021-08-12,0.375
2023-02-25,0.5454545454545454
2022-02-11,0.45454545454545453
2022-03-03,0.5
2021-07-29,7.3
2022-07-13,0.5454545454545454
838,1.0
2021-09-25,0.42857142857142855
2021-06-29,1.1
2022-06-02,0.46153846153846156
 how they work,27.5
2022-08-04,0.5294117647058824
2021-05-26,0.4
2022-02-09,0.6666666666666666
2022-02-16,0.7142857142857143
2021-11-14,0.5
2021-08-24,0.5555555555555556
2022-01-19,0.5833333333333334
2021-10-05,0.5
2022-09-23,5.909090909090909
2022-10-25,0.42857142857142855
2021-05-27,0.6666666666666666
2022-06-21,0.8
2023-01-27,0.5
2021-08-22,1.3076923076923077
 the vaccines will arrive at #Dhaka airport from Florida,1.0
2023-02-12,0.45454545454545453
2023-04-03,0.42857142857142855
 joint and muscle pains,1.0
2022-12-13,0.3888888888888889
2023-02-14,0.5454545454545454
2023-03-08,0.46153846153846156
2021-11-30,0.45454545454545453
2021-05-28,4.333333333333333
2023-01-31,0.625
2023-03-27,0.625
2023-03-03,0.8571428571428571
 muscle aches,8.0
2023-05-17,0.5
2022-10-27,0.4
2022-08-23,0.5
2023-01-09,0.6666666666666666
2021-09-26,0.5882352941176471
2021-11-10,0.5
2022-08-19,0.5
2022-04-20,0.35714285714285715
2022-03-14,0.75
2021-12-27,0.3333333333333333
2023-04-27,3.727272727272727
5ï¸â£7ï¸â£0ï¸â£dosis de lað#Pfizer contra la #COVIDã¼19 llegaron hoy #31agosto al paÃ­s,0.0
2022-09-12,0.6
2023-04-15,0.3333333333333333
2021-10-31,0.5
2021-06-28,0.7142857142857143
2023-03-18,0.4
2023-01-15,0.625
2022-06-18,0.7
 my family,24.5
 reconstituted vials and vaccinated,1.0
2022-10-10,0.45454545454545453
2023-01-16,0.6363636363636364
2021-07-25,4.285714285714286
2021-07-05,0.38461538461538464
2023-05-10,0.4444444444444444
2022-04-24,0.5714285714285714
2022-09-25,0.5384615384615384
2021-12-11,0.38461538461538464
2021-10-21,0.2222222222222222
2021-11-11,0.3333333333333333
2021-06-10,0.6666666666666666
2022-08-03,0.7142857142857143
 Dr. Kobi Habib,86.0
2021-10-26,0.5333333333333333
2023-05-13,0.5
2023-04-11,0.625
2023-01-06,0.6666666666666666
2021-08-16,0.7142857142857143
2021-07-19,0.4444444444444444
 body malaise,1.0
2021-11-17,0.6
2021-07-30,0.7
 a specialist biotech company based in Cape Town,84.0
2023-04-01,0.6
2022-02-05,0.6666666666666666
2022-06-14,0.5714285714285714
2022-12-27,0.36363636363636365
2022-09-18,0.3
2021-07-09,0.6666666666666666
2022-10-20,0.5789473684210527
2022-04-21,5.1875
2021-10-14,0.5
2022-02-12,0.6153846153846154
2021-12-12,0.7142857142857143
2022-07-22,0.5
2022-08-28,0.6666666666666666
2022-12-29,0.7142857142857143
2021-06-14,0.6363636363636364
2022-03-18,0.4444444444444444
2022-12-18,0.5
2022-05-05,0.5
2022-03-29,0.4444444444444444
2022-02-22,0.5
2022-02-20,0.6
2023-02-04,8.571428571428571
2022-08-06,0.4166666666666667
2021-09-03,0.4166666666666667
2022-12-19,0.4
2023-03-09,2.1818181818181817
2023-03-15,0.38461538461538464
2021-11-07,0.0
2022-12-06,0.6666666666666666
2021-11-16,0.5
2022-02-06,0.3333333333333333
2021-08-14,0.4444444444444444
2021-06-04,0.46153846153846156
2022-03-23,0.8571428571428571
2021-09-28,0.3076923076923077
2023-03-02,0.625
2023-01-23,0.2
2022-02-07,3.6875
2022-04-09,10.875
2022-11-24,0.625
2022-05-15,0.5
 Palestinian pottery,1.0
2022-04-25,0.125
2022-06-23,0.5
2021-10-02,0.5
2022-03-17,0.6666666666666666
2023-04-02,0.5
2023-04-25,0.375
2021-09-20,7.545454545454546
2022-05-26,0.3
2021-10-11,6.75
2021-05-24,0.375
2022-01-28,0.3333333333333333
2022-12-09,0.6153846153846154
2022-03-20,0.4
2021-06-18,0.5
2022-06-12,0.6666666666666666
2021-08-17,0.125
2021-06-09,0.5
2022-12-24,3.3636363636363638
2021-06-21,0.5714285714285714
2022-03-19,0.1111111111111111
2022-02-17,0.3333333333333333
2021-09-16,0.6666666666666666
2021-10-22,0.4444444444444444
2021-07-23,0.36363636363636365
2021-12-21,2.6875
2022-08-01,0.6923076923076923
2021-09-24,0.45454545454545453
2023-01-11,0.45454545454545453
2023-02-16,0.7
2023-02-07,0.3333333333333333
2021-06-02,0.4
2023-01-02,0.5625
2023-02-18,0.4
2023-03-24,0.3076923076923077
2022-04-26,0.2727272727272727
2022-05-02,0.46153846153846156
2021-08-29,0.4
2021-10-07,3.7857142857142856
2022-04-30,0.6363636363636364
2023-02-13,0.6428571428571429
2022-09-02,0.625
2021-09-05,0.3125
2022-01-04,0.5
2021-08-03,0.14285714285714285
2021-12-17,0.6428571428571429
2021-08-09,0.75
2022-06-10,0.45454545454545453
2022-08-29,0.375
2023-04-14,0.125
2022-10-26,0.4
 #Pfizer (#PfizerBioNTech),82.0
2021-11-12,0.14285714285714285
2022-01-26,0.6666666666666666
2021-07-02,0.5833333333333334
2023-01-24,0.2857142857142857
2022-01-30,0.6
2021-12-22,0.375
2023-01-14,0.6153846153846154
2022-04-03,0.625
2023-04-12,0.9
2021-08-18,0.4
2022-04-28,0.5555555555555556
2022-11-05,0.6
2023-04-20,0.45
2022-08-09,0.375
2021-10-01,0.5
2022-11-22,0.46153846153846156
2022-05-18,0.5714285714285714
2021-08-10,0.35714285714285715
2021-11-20,0.8
2022-08-08,0.7692307692307693
2021-08-21,0.5625
2022-08-21,0.2222222222222222
mRNA,79.0
2022-11-20,0.5
2021-12-02,0.42857142857142855
2022-10-30,0.6666666666666666
2023-01-07,0.6666666666666666
2021-08-02,0.7
2022-01-12,0.25
 my loved ones,1.0
050 January,78.0
2021-10-12,0.5
2022-01-27,0.625
2022-01-01,1.0
2022-07-07,0.5454545454545454
5ï¸â£7ï¸â£0ï¸â£ nuevas dosis de lað#Pfizer contra la #COVID19 llegaron hoy al paÃ­s,0.0
2023-02-11,0.75
2022-05-22,0.5454545454545454
2021-09-14,0.3
2022-09-30,0.7333333333333333
2022-05-29,0.7272727272727273
2023-02-03,0.375
2023-05-12,0.5454545454545454
2022-12-02,0.6666666666666666
2021-07-14,0.625
2023-02-21,0.6428571428571429
2023-03-26,0.18181818181818182
2022-10-01,0.6666666666666666
2021-12-04,0.6153846153846154
2021-07-17,0.4
2021-06-22,0.5294117647058824
2021-12-05,0.375
2021-06-19,0.5714285714285714
2022-01-07,0.75
2022-12-23,0.16666666666666666
2022-03-08,0.5625
2022-11-28,0.5833333333333334
2022-05-06,0.4
2022-05-10,0.6666666666666666
2022-10-16,0.5
2021-08-27,0.6153846153846154
2022-04-27,0.3125
2022-01-29,0.7272727272727273
2021-10-30,0.3333333333333333
2022-07-29,0.42857142857142855
2022-01-24,0.5
2023-02-05,0.6923076923076923
2022-05-09,0.4
2022-10-06,0.42857142857142855
2021-12-26,0.7272727272727273
2022-07-11,0.5833333333333334
2022-01-05,0.75
2022-03-07,0.625
2022-01-16,0.5454545454545454
2021-11-29,0.5555555555555556
2021-06-13,0.35
2022-02-14,0.5
2023-04-13,0.7142857142857143
